Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
TotalEvents		1	100	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	
L1_SingleJet36	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_Mu8_HTT125	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_SingleIsoEG22er	L1	0	24	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	
L1_AlwaysTrue	Masked	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_DoubleJetC84	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_Mu5_DoubleEG5	L1	0	26	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	
L1_Jet32_MuOpen_EG10_MuEGNotWdPhi3_JetMuWdPhi1	L1	0	31	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	
L1_Mu0er_ETM55	L1	0	31	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	
L1_SingleEG25	L1	0	69	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	
L1_SingleEG20	L1	0	69	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	
L1_Mu16er_TauJet40erORCenJet72er	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_QuadJetC84	L1	0	13	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	
L1_SingleMu25er	L1	0	10	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	
L1_Mu14er_ETM30	L1	0	17	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	
L1_QuadJetC40	L1	0	28	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	
L1_RomanPotsAND	Masked	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
L1_DoubleMu0_Eta1p6_WdEta18_OS	L1	0	9	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	
L1_DoubleJetC56_ETM60	L1	0	56	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	
L1_MinimumBiasHF2_AND	Masked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_DoubleMu_10_0_WdEta18	L1	0	14	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	
L1_DoubleTauJet44er	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_SingleIsoEG28er	L1	0	69	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	
L1_DoubleJetC100	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_IsoEG20er_TauJet20er_NotWdEta0	L1	0	69	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	
