Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
TotalEvents		1	100	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	
HLT_PFHT400_SixJet30_BTagCSV0p55_2PFBTagCSV0p72_v2	HIG	0	4	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	
HLT_L1SingleMu16_v1	SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DoubleMu23NoFiltersNoVtxDisplaced_v1	EXO	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_HcalCalibration_v1	NoGroup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DoublePhoton85_v2	EXO	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v1	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_IsoMu20_eta2p1_TriCentralPFJet50_40_30_v2	TOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v2	EXO	0	65	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	
