Path	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
TotalEvents	1	100	1	1	1	1	1	1	1	1	100	1	1	1	1	1	1	1	
HIG	0	69	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	
SMP	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
EXO	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
NoGroup	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
TAU	0	28	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	
BPH	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
TOP	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Masked	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
SUSY	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
B2G	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
Egamma	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
JetMET	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
TSG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PPD	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
BTV	0	16	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	
Hotline	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
JME	0	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	
Muon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ECAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
