master: 	/dev/CMSSW_7_4_0/50nsHLT/V215																																							  1 072.0	±		Hz	STEAM rates evaluated on the Spring'15 samples, corresponding to a luminoity of 5e33 cm⁻²s⁻¹ with the menu
menu:	/frozen/2015/50ns_5e33/v2.1/HLT/V5																																											/dev/CMSSW_7_4_0/50nsGRun/V116
								Old L1		L1 prescales								HLT prescales								Total prescales																		
Stream	Dataset	Path	Group	DQM	JIRA	L1 Seed		5e33		5e33	4e33	3e33	2e33	1e33	5e32	2p5e32		5e33	4e33	3e33	2e33	1e33	5e32	2p5e32		5e33	4e33	3e33	2e33	1e33	5e32	2p5e32		Timing		POG / PAG rates at 5e33 cm⁻²s⁻¹				Steam rates at 5e33 cm⁻²s⁻¹				Remarks
A	BTagCSV	HLT_DoubleJet90_Double30_DoubleBTagCSV0p67_v2	Higgs H->4b	yes	CMSHLT-128, CMSHLT-405	L1_TripleJet_92_76_64 OR L1_DoubleJetC100		   1		#ERROR!								   25	   25	   25	   25	   25	   25	   25		#ERROR!	0	0	0	0	0	0			ms		±		Hz		±		Hz	group: HIG (Hbb)
A	BTagCSV	HLT_DoubleJet90_Double30_TripleBTagCSV0p67_v2	Higgs H->4b	yes	CMSHLT-128, CMSHLT-405	L1_TripleJet_92_76_64 OR L1_DoubleJetC100		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz		±		Hz	group: HIG (Hbb)
A	BTagCSV	HLT_QuadJet45_DoubleBTagCSV0p67_v2	Higgs H->4b	yes	CMSHLT-128, CMSHLT-405	L1_HTT175 OR L1_QuadJetC60		   1										   25	   25	   25	   25	   25	   25	   25		0	0	0	0	0	0	0			ms		±		Hz		±		Hz	group: HIG (Hbb)
A	BTagCSV	HLT_QuadJet45_TripleBTagCSV0p67_v2	Higgs H->4b	yes	CMSHLT-128, CMSHLT-405	L1_HTT175 OR L1_QuadJetC60		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz		±		Hz	group: HIG (Hbb)
A	BTagCSV	HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v2	HIG	yes	CMSHLT-234, CMSHLT-405	L1_TripleJet_92_76_64		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   79.4	±	   0.7	Hz	group: HIG (Hbb)
A	BTagCSV	HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v2	HIG	yes	CMSHLT-234, CMSHLT-405	L1_TripleJet_92_76_64		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   32.7	±	   0.4	Hz	group: HIG (Hbb)
A	BTagCSV	HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460_v2	HIG	yes	CMSHLT-234, CMSHLT-405	L1_TripleJet_92_76_64		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   12.6	±	   0.2	Hz	group: HIG (Hbb)
A	BTagCSV	HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v2	HIG	yes	CMSHLT-234, CMSHLT-405	L1_TripleJet_92_76_64		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.3	±	   0.2	Hz	group: HIG (Hbb)
A	BTagMu	HLT_BTagMu_DiJet110_Mu5_v2	BTV	yes	CMSHLT-144	L1_Mu3_JetC52_WdEtaPhi2		   5										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   16.9	±	   0.5	Hz	
A	BTagMu	HLT_BTagMu_DiJet20_Mu5_v2	BTV	yes	CMSHLT-144, CMSHLT-363	L1_Mu3_JetC16_WdEtaPhi2		   50										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   64.0	±	   1.0	Hz	
A	BTagMu	HLT_BTagMu_DiJet40_Mu5_v2	BTV	yes	CMSHLT-144	L1_Mu3_JetC16_WdEtaPhi2		   50										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   28.3	±	   0.5	Hz	
A	BTagMu	HLT_BTagMu_DiJet70_Mu5_v2	BTV	yes	CMSHLT-144, CMSHLT-363	L1_Mu3_JetC52_WdEtaPhi2		   5										   2	   2	   2	   2	   2	   2	   2		0	0	0	0	0	0	0			ms		±		Hz	   31.9	±	   0.3	Hz	
A	BTagMu	HLT_BTagMu_Jet300_Mu5_v2	BTV	yes	CMSHLT-144	L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.5	±	   0.0	Hz	
A	Charmonium	HLT_Dimuon0_Jpsi_Muon_v1	BPH	yes	CMHSLT-155	L1_TripleMu0		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   12.1	±	   2.2	Hz	
A	Charmonium	HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v1	BPH	yes	CMSHLT-145	L1_DoubleMu0_Eta1p6_WdEta18		   1										   50	   50	   50	   50	   50	   50	   50		0	0	0	0	0	0	0			ms		±		Hz	   1.7	±	   0.8	Hz	group: BPH, muon, - rate: 8.8 Hz, - type: signal, - approval: http://indico.cern.ch/getFile.py/access?subContId=2&contribId=1&resId=0&materialId=slides&confId=179432, - description: Jpsi displaced path for all B-Physics analyses. Control path for Bs->mumu
A	Charmonium	HLT_Dimuon0er16_Jpsi_NoVertexing_v1	BPH	yes	CMSHLT-145	L1_DoubleMu0_Eta1p6_WdEta18_OS		   1										   50	   50	   50	   50	   50	   50	   50		0	0	0	0	0	0	0			ms		±		Hz	   1.4	±	   0.7	Hz	
A	Charmonium	HLT_Dimuon10_Jpsi_Barrel_v1	BPH	yes	CMSHLT-211 (only for 7e33)	L1_DoubleMu0_Eta1p6_WdEta18		   1										   5	   5	   5	   5	   5	   5	   5		0	0	0	0	0	0	0			ms		±		Hz	   9.0	±	   1.8	Hz	
A	Charmonium	HLT_Dimuon13_PsiPrime_v1	BPH	yes	CMSHLT-82	L1_DoubleMu_10_0_WdEta18		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   4.5	±	   1.2	Hz	group: BPH, muon, - rate: 8.8 Hz, - type: signal, - approval: http://indico.cern.ch/getFile.py/access?subContId=2&contribId=1&resId=0&materialId=slides&confId=179432, - description: Jpsi displaced path for all B-Physics analyses. Control path for Bs->mumu
A	Charmonium	HLT_Dimuon16_Jpsi_v1	BPH	yes	CMSHLT-211 (only for 7e33)	L1_DoubleMu_10_0_WdEta18		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   20.1	±	   2.3	Hz	group: BPH, - exp rate at 7E33: 21.5 Hz, - type: signal, - description: Quarkonia
A	Charmonium	HLT_Dimuon20_Jpsi_v1	BPH	yes	CMSHLT-82	L1_DoubleMu_10_0_WdEta18		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   10.2	±	   1.4	Hz	group: BPH, muon, - rate: 8.8 Hz, - type: signal, - approval: http://indico.cern.ch/getFile.py/access?subContId=2&contribId=1&resId=0&materialId=slides&confId=179432, - description: Jpsi displaced path for all B-Physics analyses. Control path for Bs->mumu
A	Charmonium	HLT_Dimuon6_Jpsi_NoVertexing_v1	BPH	yes	CMSHLT-145	L1_DoubleMu0		   250										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.1	±	   0.0	Hz	
A	Charmonium	HLT_Dimuon8_PsiPrime_Barrel_v1	BPH	yes	CMSHLT-211 (only for 7e33)	L1_DoubleMu0_Eta1p6_WdEta18		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.5	±	   1.4	Hz	group: BPH, - exp pure rate at 7E33: 2.5 Hz, - type: signal, - description: Quarkonia
A	Charmonium	HLT_DoubleMu4_3_Bs_v1	BPH	yes	CMSHLT-82	L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   7.2	±	   1.4	Hz	group: BPH, muon, - rate: 8.8 Hz, - type: signal, - approval: http://indico.cern.ch/getFile.py/access?subContId=2&contribId=1&resId=0&materialId=slides&confId=179432, - description: Jpsi displaced path for all B-Physics analyses. Control path for Bs->mumu
A	Charmonium	HLT_DoubleMu4_3_Jpsi_Displaced_v1	BPH	yes	CMSHLT-82	L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18		   1										   2	   2	   2	   2	   2	   2	   2		0	0	0	0	0	0	0			ms		±		Hz	   17.2	±	   2.4	Hz	group: BPH, muon, - rate: 8.8 Hz, - type: signal, - approval: http://indico.cern.ch/getFile.py/access?subContId=2&contribId=1&resId=0&materialId=slides&confId=179432, - description: Jpsi displaced path for all B-Physics analyses. Control path for Bs->mumu
